school_type, state, total_enrolments, school_sector, girls_enrolments, icsea, teaching_staff, full_time_equivalent_enrolments, language_background_other_than_english, boys_enrolments, year_range, geolocation, suburb, ogc_fid, abs_remoteness_area, calendar_year, longitude, latitude
"Primary","TAS",98,"Government",45,985,10,93.2,4,53,"K-6","Outer Regional","Franklin",74638,"Outer Regional Australia","2016",147.0118557,-43.08553093
"Primary","TAS",419,"Government",199,984,26,394.2,8,220,"K-6","Inner Regional","Kingston",74639,"Inner Regional Australia","2016",147.3099185,-42.97934878
"Primary","TAS",287,"Government",138,1026,21,273.0,3,149,"K-6","Inner Regional","Blackmans Bay",74640,"Inner Regional Australia","2016",147.3212642,-42.99699352
"Primary","TAS",490,"Government",239,1017,31,461.2,2,251,"K-6","Inner Regional","Margate",74641,"Inner Regional Australia","2016",147.262095,-43.028852
"Primary","TAS",349,"Government",166,1013,23,337.8,1,183,"K-6","Inner Regional","Snug",74642,"Inner Regional Australia","2016",147.2542694,-43.06533258
"Primary","TAS",44,"Government",23,994,4,42.0,0,21,"K-6","Outer Regional","Alonnah",74643,"Outer Regional Australia","2016",147.2460519,-43.31756067
"Primary","TAS",358,"Government",160,1027,23,338.0,2,198,"K-6","Inner Regional","Cambridge",74644,"Inner Regional Australia","2016",147.4418246,-42.83620708
"Primary","TAS",174,"Government",84,1006,13,162.8,0,90,"K-6","Inner Regional","Evandale",74645,"Inner Regional Australia","2016",147.249153,-41.567519
"Primary","TAS",23,"Government",14,921,3,22.2,0,9,"K-6","Outer Regional","Avoca",74646,"Outer Regional Australia","2016",147.7263668,-41.78275082
"Primary","TAS",94,"Government",51,999,6,87.2,4,43,"K-6","Remote","Bicheno",74647,"Remote Australia","2016",148.3057023,-41.87237979
"Primary","TAS",619,"Government",317,1051,44,595.4,12,302,"K-6","Inner Regional","East Launceston",74648,"Inner Regional Australia","2016",147.1520445,-41.44202283
"Primary","TAS",377,"Government",170,981,28,354.2,16,207,"K-6","Inner Regional","South Launceston",74649,"Inner Regional Australia","2016",147.1439905,-41.45590244
"Primary","TAS",486,"Government",212,992,34,461.2,1,274,"K-6","Inner Regional","Norwood",74650,"Inner Regional Australia","2016",147.1742756,-41.46210661
"Primary","TAS",338,"Government",158,1015,22,319.2,4,180,"K-6","Inner Regional","Newstead",74651,"Inner Regional Australia","2016",147.1653299,-41.45252801
"Primary","TAS",691,"Government",314,1022,46,655.4,2,377,"K-6","Inner Regional","Riverside",74652,"Inner Regional Australia","2016",147.1006329,-41.41277009
"Primary","TAS",259,"Government",126,953,21,243.4,2,133,"K-6","Inner Regional","St Leonards",74653,"Inner Regional Australia","2016",147.2003125,-41.45970425
"Primary","TAS",546,"Government",282,957,35,514.6,1,264,"K-6","Inner Regional","Summerhill",74654,"Inner Regional Australia","2016",147.1297071,-41.46827258
"Primary","TAS",503,"Government",251,1053,31,475.0,3,252,"K-6","Inner Regional","Trevallyn",74655,"Inner Regional Australia","2016",147.1146624,-41.43814374
"Primary","TAS",154,"Government",74,890,15,141.2,0,80,"K-6","Inner Regional","Waverley",74656,"Inner Regional Australia","2016",147.1901325,-41.43207254
"Primary","TAS",366,"Government",165,1012,25,347.2,5,201,"K-6","Inner Regional","West Launceston",74657,"Inner Regional Australia","2016",147.1284837,-41.44906993
"Primary","TAS",348,"Government",180,965,24,332.4,1,168,"K-6","Inner Regional","Youngtown",74658,"Inner Regional Australia","2016",147.163844,-41.482606
"Combined","TAS",485,"Government",230,893,46,475.0,0,255,"K-10","Outer Regional","George Town",74659,"Outer Regional Australia","2016",146.8281151,-41.09971856
"Primary","TAS",283,"Government",133,942,22,267.8,1,150,"K-6","Outer Regional","George Town",74660,"Outer Regional Australia","2016",146.8336332,-41.11362094
"Primary","TAS",171,"Government",78,966,11,161.8,0,93,"K-6","Outer Regional","Bridport",74661,"Outer Regional Australia","2016",147.3893709,-41.00162041
"Primary","TAS",88,"Government",37,964,6,84.0,1,51,"K-6","Outer Regional","Ringarooma",74662,"Outer Regional Australia","2016",147.7332395,-41.24228469
"Primary","TAS",312,"Government",161,946,23,300.4,0,151,"K-6","Outer Regional","Scottsdale",74663,"Outer Regional Australia","2016",147.5066538,-41.16034658
"Primary","TAS",396,"Government",190,983,33,380.0,0,206,"K-6","Outer Regional","Hagley",74664,"Outer Regional Australia","2016",146.9034023,-41.52669149
"Primary","TAS",78,"Government",33,983,7,75.2,0,45,"K-6","Outer Regional","Orford",74665,"Outer Regional Australia","2016",147.8738424,-42.56331933
"Primary","TAS",60,"Government",34,977,6,57.6,2,26,"K-6","Remote","Swansea",74666,"Remote Australia","2016",148.073201,-42.12236781
"Primary","TAS",59,"Government",30,982,7,57.4,0,29,"K-6","Outer Regional","Bracknell",74667,"Outer Regional Australia","2016",146.9335869,-41.65243695
"Primary","TAS",247,"Government",133,981,17,233.0,0,114,"K-6","Inner Regional","Perth",74668,"Inner Regional Australia","2016",147.1743711,-41.57317837
"Primary","TAS",250,"Government",119,941,20,238.0,2,131,"K-6","Inner Regional","Longford",74669,"Inner Regional Australia","2016",147.1169432,-41.59593583
